    68/299     2.46G   0.02352   0.01634   0.00182   0.04168        11       640    0.6938    0.8658    0.8503    0.5982    0.0276   0.01824  0.003028
    69/299     2.46G   0.02323   0.01593  0.001625   0.04079        26       640    0.7266    0.8557     0.839    0.5964   0.02775   0.01821  0.004175
    70/299     2.46G   0.02339   0.01552  0.001649   0.04055        16       640     0.759    0.8395    0.8346    0.5824    0.0291   0.01864  0.004948
    71/299     2.46G   0.02331   0.01601  0.001776    0.0411        15       640    0.6906    0.8609    0.8398    0.5797   0.02857   0.01841  0.003901
    72/299     2.46G   0.02436   0.01665  0.002066   0.04307        13       640    0.7504    0.8629    0.8466    0.5764   0.02845    0.0188  0.003106
    73/299     2.46G   0.02302   0.01584  0.001799   0.04066        53       640    0.7251    0.8551    0.8454    0.5887   0.02777   0.01833  0.003415
    74/299     2.46G   0.02309   0.01615  0.001797   0.04104        26       640    0.7136      0.86    0.8436    0.5922   0.02815   0.01816    0.0039
    75/299     2.46G   0.02263   0.01589  0.001662   0.04018        23       640    0.7447    0.8443    0.8303    0.5869   0.02755   0.01859  0.003632
    76/299     2.46G   0.02271   0.01606  0.002428    0.0412        31       640    0.7148    0.8534    0.8537    0.5918   0.02801   0.01844  0.003979
    77/299     2.46G   0.02257   0.01514  0.001619   0.03933        23       640    0.7325    0.8609    0.8463    0.5968   0.02833    0.0184  0.003375
    78/299     2.46G   0.02262   0.01586  0.001694   0.04017        18       640    0.7376    0.8456    0.8394    0.5904   0.02786   0.01916  0.003863
    79/299     2.46G    0.0225   0.01546  0.001646    0.0396        15       640    0.7484     0.845    0.8388    0.5973   0.02797   0.01849  0.004211
    80/299     2.46G    0.0225   0.01576  0.001813   0.04007        17       640    0.7457    0.8398    0.8268    0.5863   0.02756   0.01918  0.003159
    81/299     2.46G   0.02255   0.01568  0.001785   0.04002        32       640    0.7244    0.8554     0.843    0.5872   0.02832   0.01861  0.003512
    82/299     2.46G    0.0227   0.01616  0.001616   0.04047        42       640    0.7606    0.8215    0.8298    0.5991   0.02826   0.01851  0.003144
    83/299     2.46G    0.0227   0.01595  0.001695   0.04034        34       640    0.6962    0.8739    0.8551    0.5744   0.02858   0.01852  0.002988
    84/299     2.46G   0.02253   0.01536  0.001566   0.03946        21       640    0.7506    0.8462      0.84       0.6   0.02819   0.01877  0.003719
    85/299     2.46G   0.02235   0.01558  0.001516   0.03945        23       640    0.7364    0.8391    0.8299    0.5841   0.02835   0.01895  0.003291
    86/299     2.46G   0.02216   0.01522  0.001362   0.03874        38       640      0.74    0.8376     0.834    0.5908   0.02768   0.01863  0.003273
    87/299     2.46G   0.02227   0.01561  0.001854   0.03973        41       640    0.7354    0.8409    0.8351    0.5836   0.02815   0.01888  0.004067
    88/299     2.46G   0.02231   0.01579  0.002141   0.04024        27       640    0.6727    0.8424     0.829    0.5817   0.02768   0.01914  0.003702
    89/299     2.46G   0.02274    0.0162  0.001907   0.04085        27       640    0.7405    0.8392    0.8437    0.5985   0.02805    0.0183  0.003854
    90/299     2.46G   0.02203   0.01554  0.001698   0.03927        16       640    0.7343     0.865     0.847    0.5927   0.02809   0.01879  0.004042
    91/299     2.46G   0.02236   0.01614  0.001637   0.04014        33       640    0.7322    0.8455     0.836    0.5901    0.0277    0.0188  0.003743
    92/299     2.46G   0.02202   0.01545  0.001483   0.03896        17       640    0.7699    0.8518    0.8476    0.5862   0.02792   0.01913  0.003421
    93/299     2.46G   0.02213   0.01524  0.001663   0.03903        20       640    0.7735    0.8424    0.8448    0.5897   0.02791   0.01879  0.004211
    94/299     2.46G   0.02228   0.01502  0.001567   0.03887        52       640    0.7387    0.8408    0.8366    0.5981   0.02774   0.01831  0.003828
    95/299     2.46G    0.0225   0.01639   0.00157   0.04047        22       640    0.7406    0.8438    0.8356    0.5945   0.02827   0.01867  0.003526
    96/299     2.46G    0.0225    0.0166   0.00167   0.04077        16       640    0.7306    0.8394    0.8356    0.5859   0.02746   0.01823  0.003357
    97/299     2.46G   0.02207   0.01531  0.001708   0.03909        21       640    0.7237    0.8489    0.8414     0.593   0.02751   0.01851   0.00323
    98/299     2.46G   0.02237   0.01539  0.001586   0.03935        41       640     0.726    0.8581    0.8538    0.6116   0.02765   0.01826  0.003126
    99/299     2.46G   0.02185   0.01559  0.001708   0.03915        39       640    0.7539    0.8551    0.8478    0.6005   0.02762   0.01826  0.003705
   100/299     2.46G   0.02216   0.01598  0.001633   0.03978        13       640    0.7521    0.8571    0.8449    0.6057   0.02764   0.01858   0.00317
   101/299     2.46G   0.02169   0.01537  0.001566   0.03862        28       640    0.7221    0.8608    0.8428    0.6032   0.02738   0.01861  0.003515
   102/299     2.46G   0.02226    0.0158  0.001742    0.0398        20       640    0.7319     0.857    0.8456    0.5915   0.02731   0.01842  0.003235
   103/299     2.46G   0.02187   0.01518  0.001541   0.03859        24       640    0.7495    0.8403    0.8373    0.5958   0.02786   0.01864  0.003645
   104/299     2.46G   0.02127   0.01423  0.001562   0.03706        17       640    0.7573    0.8338    0.8237    0.5955   0.02729   0.01893   0.00382
   105/299     2.46G   0.02142   0.01484  0.001286   0.03754        26       640    0.7255    0.8389    0.8284    0.5804   0.02759   0.01871  0.003522
   106/299     2.46G    0.0213   0.01518  0.001363   0.03785        22       640    0.7754    0.8368    0.8319    0.5942   0.02773   0.01885  0.003655
   107/299     2.46G    0.0207   0.01517  0.001532    0.0374        27       640    0.7318     0.844    0.8422    0.5932   0.02798   0.01891  0.003984
   108/299     2.46G   0.02137   0.01504  0.001512   0.03792        17       640    0.7152      0.86    0.8433    0.6015   0.02732   0.01859  0.003093
   109/299     2.46G   0.02187   0.01525  0.001785   0.03891        28       640    0.7316    0.8571    0.8445    0.5949   0.02794   0.01826  0.003877
   110/299     2.46G   0.02158   0.01506  0.001471   0.03812        11       640     0.771    0.8503    0.8453    0.6054   0.02725   0.01879  0.003321
   111/299     2.46G   0.02136   0.01567  0.001438   0.03846        26       640    0.7313    0.8514     0.838    0.5953   0.02746   0.01882  0.003836
   112/299     2.46G   0.02172   0.01572  0.001726   0.03917        18       640    0.6995    0.8363    0.8183    0.5933   0.02718   0.01927   0.00375
   113/299     2.46G   0.02147   0.01495  0.001731   0.03815        21       640    0.7269    0.8382    0.8207    0.5953   0.02715   0.01875  0.003497
