    84/199     2.51G   0.04843   0.01007  0.002442   0.06095         5       640    0.7286         1    0.9862    0.7107   0.02532  0.004652  0.001802
    85/199     2.51G   0.04641  0.009534  0.002229   0.05817         8       640    0.6134         1    0.8958    0.5791   0.02682  0.004588  0.001835
    86/199     2.51G   0.04187  0.008467  0.002282   0.05262         7       640    0.5779         1    0.9859    0.7274   0.02508  0.004568  0.001884
    87/199     2.51G   0.04205  0.009439  0.002345   0.05383         9       640    0.8041         1    0.9952     0.793   0.02289  0.004651  0.001894
    88/199     2.51G   0.04434  0.009259  0.002493   0.05609         5       640    0.5333         1    0.9779    0.6033   0.02718  0.004792  0.001853
    89/199     2.51G   0.04808  0.009108   0.00278   0.05997         6       640    0.5585         1    0.9799    0.7733   0.02122  0.004595  0.001916
    90/199     2.51G   0.04687  0.009386  0.002577   0.05883         5       640    0.7903         1    0.9684    0.5895   0.02825  0.004904  0.001954
    91/199     2.51G    0.0492   0.01019   0.00301    0.0624         4       640    0.7344         1    0.9671    0.5837   0.02896  0.005286  0.001975
    92/199     2.51G   0.04688   0.00955  0.003115   0.05954         6       640    0.5687         1     0.891    0.5944   0.02463  0.005107  0.002187
    93/199     2.51G   0.04255    0.0103  0.003537   0.05638         5       640    0.7408         1    0.9848    0.7927   0.01819  0.005129  0.002192
    94/199     2.51G   0.03755   0.01053  0.003242   0.05132         6       640    0.8268         1    0.9843    0.7406   0.01836  0.004787  0.002094
    95/199     2.51G   0.03163   0.01035  0.003285   0.04526         8       640    0.9376         1    0.9952    0.7813   0.01682  0.004578  0.002033
    96/199     2.51G   0.03484  0.009414  0.002951    0.0472         7       640     0.746         1    0.9809    0.7262   0.01798  0.004507  0.001922
    97/199     2.51G   0.03043  0.008775  0.002386   0.04159         7       640    0.9207         1    0.9952    0.8379   0.02206  0.004288  0.001799
    98/199     2.51G   0.03788  0.009336  0.002407   0.04962         9       640    0.9192         1    0.9951    0.7559   0.01904  0.004139  0.001787
    99/199     2.51G   0.03917  0.008816  0.002279   0.05027         5       640      0.84         1    0.9889    0.7153   0.02399  0.004304  0.001735
   100/199     2.51G   0.03861  0.009431  0.002351   0.05039         5       640    0.9526         1    0.9953    0.7625   0.02006  0.004322   0.00166
   101/199     2.51G   0.04125    0.0105  0.002704   0.05445         8       640    0.9018         1    0.9953    0.8341   0.01758  0.004144  0.001633
